title,description,cleaned_text
IT-Experte (m/w/d),"Unterstützung und Beratung von StaatsanwältInnen und RichterInnen bei der Sachverhaltserhebung in Justizverfahren * Erkennen, Aufklären und Analyse von Malsoftware auf Geräten oder von gezielten Erpressungen durch Ransomware … Gute Kenntnisse in mindestens einer Programmiersprache (Python, Ruby, C etc",unterst tzung und beratung von staatsanw ltinnen und richterinnen bei der sachverhaltserhebung justizverfahren erkennen aufkl ren und analyse von malsoftware auf ger ten oder von gezielten erpressungen durch ransomware gute kenntnisse mindestens einer programmiersprache python ruby c etc
Embedded Software Entwickler (w/m/d),"Design und Implementierung von Embedded Echtzeit Software auf sicherheitsgerichteten Steuerungen neuester Generation. * Planung und Durchführung von Modul-, System- und Abnahmetests … Sehr gute Kenntnisse in zumindest einer Programmiersprache (z.B. C/C++, Java, Python)",design und implementierung von embedded echtzeit software auf sicherheitsgerichteten steuerungen neuester generation planung und durchf hrung von modul system und abnahmetests sehr gute kenntnisse zumindest einer programmiersprache z b c c java python
Data Scientist (m/w/d),"Entwicklung und Implementierung von innovativen Technologien und Algorithmen für Fahrwerksdiagnosesysteme ausgehend von der Idee bis zur Software-Umsetzung … Erfahrung im Bereich der Datenanalyse, versierte MATLAB und Python Kenntnisse, R oder ähnlich",entwicklung und implementierung von innovativen technologien und algorithmen f r fahrwerksdiagnosesysteme ausgehend von der idee bi zur software umsetzung erfahrung im bereich der datenanalyse versierte matlab und python kenntnisse r oder hnlich
DevOps Engineer for Development Infrastructure (m/w/d),"Als DevOps Engineer for Development Infrastructure bist du Teil des Teams ""Software System Control"" des Geschäftsbereichs Solar Energy. Wir unterstützen Software-Entwicklungsteams mit Tools und Services, um Software und Lösungen für unsere Solar-Wechselrichter in einem schnell wachsenden und … ",al devops engineer development infrastructure bist du teil de team software system control de gesch ftsbereichs solar energy wir unterst tzen software entwicklungsteams mit tool und service um software und l sungen f r unsere solar wechselrichter einem schnell wachsenden und
Statistiker*in Biopharma (w/m/d),"Masterstudium oder Doktorat in Statistik oder Bioinformatik … Methoden in der Biotechnologie (statistische Hypothesentests, DoE, MVDA, PCA, etc.) und Machine Learning Techniken sowie der Statistik-Software (Python oder R) * Erfahrungen in der (bio-)pharmazeutischen Industrie und grundlegende Kenntnisse … ",masterstudium oder doktorat statistik oder bioinformatik methoden der biotechnologie statistische hypothesentests doe mvda pca etc und machine learning techniken sowie der statistik software python oder r erfahrungen der bio pharmazeutischen industrie und grundlegende kenntnisse
Senior Credit Risk Modeller *,"University degree in a relevant area (math, statistics, economics with financial focus etc.) * Several years experience in credit risk modelling * Interest in handling big data and solving of statistical problems * Any programming language (R, C#, SAS/SQL, Python, etc.) is advantageous",university degree relevant area math statistic economics financial focus etc several year experience credit risk modelling interest handling big data solving statistical problem programming language r c sa sql python etc advantageous
Senior System-Architekt / Integrator (m/w/d) Embedded-Systems,"Wir verwirklichen, worauf es ankommt. Mit unseren MitarbeiterInnen - elektrifizieren, automatisieren und digitalisieren wir Österreich … Aktuelle Programmiersprachen wie Java, Python oder Go setzen Sie bereits seit mindestens fünf Jahren in der Praxis routiniert ein",wir verwirklichen worauf e ankommt mit unseren mitarbeiterinnen elektrifizieren automatisieren und digitalisieren wir sterreich aktuelle programmiersprachen wie java python oder go setzen sie bereits seit mindestens f nf jahren der praxis routiniert ein
Senior/Professional Hardware Entwickler (gn*),"Sie nehmen eine wichtige Rolle im Innovationsteam ein, das Hard- und Softwarelösungen, sowie datenanalytische Methoden und Verfahren zur Überwachung und … Gute Kenntnisse in der hardwarenahen Programmierung in C / C++ sowie in gängigen Skriptsprachen (Python",sie nehmen eine wichtige rolle im innovationsteam ein da hard und softwarel sungen sowie datenanalytische methoden und verfahren zur berwachung und gute kenntnisse der hardwarenahen programmierung c c sowie g ngigen skriptsprachen python
Developer Embedded Systems,"JETZT BEWERBEN - WAS SIE BEI UNS BEWEGEN * Design, Entwicklung und Implementierung von Embedded Systemen für unsere mechatronischen Produkte … Kenntnisse (C, C++, C#, QT, .NET, Linux, Python, Eclipse, Git, VS Code) und Freude an der hardwarenahen Programmierung",jetzt bewerben sie bei un bewegen design entwicklung und implementierung von embedded systemen f r unsere mechatronischen produkte kenntnisse c c c qt net linux python eclipse git v code und freude der hardwarenahen programmierung
GIS Analytics & Development Manager (w/m/d),ab sofort Vollzeit - Wir sind bereits das größte offene Smart-Locker-Netzwerk im deutschsprachigen Raum und investieren viel in den weiteren Ausbau. Wir suchen dich als Unterstützung für die Unterstützung in der Weiterentwicklung unseres Analyseprozesses … Erfahrung in Python,ab sofort vollzeit wir sind bereits da gr te offene smart locker netzwerk im deutschsprachigen raum und investieren viel den weiteren ausbau wir suchen dich al unterst tzung f r die unterst tzung der weiterentwicklung unseres analyseprozesses erfahrung python
