title,description,job_url
Traineeprogramm in der Bank (m/w/d),"Klagenfurt, Feldkirchen, Völkermarkt, Wolfsberg - Gestalte deine Zukunft - mit deinen Kompetenzen - Du lernst das Firmenkundengeschäft von Grund auf kennen … Du lernst durch „Training on the job“ und das umfangreiche Seminarangebot der Volksbank Akademie",https://www.metajob.at/dres/jc?p=00fwskzmwtqj6b
Fachassistenz Firmenkunden Bank (m/w/d),"Als Fachassistenz sind sie Ansprechpartner/-in für tagesgeschäftliche Agenden, wie z.B. Fragen zum Thema Kontoführung. Dabei übernehmen Sie auch die systemtechnische Pflege der EDV-Daten unter Beachtung und Sicherstellung der gesetzlichen Erfordernisse",https://www.metajob.at/dres/jc?p=00ci85mhc9iwkc
Unternehmensjurist:in für Bankenvertrieb,"Bearbeitung und Koordination von bankenrechtlichen Fragestellungen aus dem Tagesgeschäft des Filialvertriebs - Erarbeitung und Abstimmung von rechtlichen Stellungnahmen (Abwicklung von Kundenbeschwerden und Schadensersatzforderungen, diesbezügliche Korrespondenz mit … ",https://www.metajob.athttps://www.stepstone.at/stellenangebote---20230307114756537---726031-inline.html?cid=MsearchE_metajob___A
Servicebetreuer (m/w/d),"Erste Ansprechperson für Kundenanliegen * Selbstständige Kassenführung, Abwicklung des Schaltergeschäftes und des Zahlungsverkehrs * Servicierung der Kund:innen im Foyer und an den Selbstbedienungsgeräten … Kaufmännische Ausbildung (idealerweise HAK/HLW oder Banklehre)",https://www.metajob.at/dres/jc?p=000a5vwbnynyrc
Consultant für NÖ Raiffeisenbanken (w/m/d),"Wien, Anstellungsart: Vollzeit - IHRE AUFGABEN: MEHR BEWEGEN - Wie Ihr Arbeitsalltag aussieht … Durchführung regelmäßiger Ergebnisanalysen mit Raiffeisenbanken und Ableitung von Steuerungsmaßnahmen (Gesamtbank, Kundengeschäft, Marktpreisrisiko … ",https://www.metajob.at/dres/jc?p=002n3bryx7cayu
Assistenz Private Banking (m/w/d),Unterstützung der Kundenbetreuerinnen und Kundenbetreuer hinsichtlich der umfassenden Betreuung und Beratung vermögender Privatkundinnen und Privatkunden in … Vor - und Nachbereitung von Kundenterminen … Mehrjährige Erfahrung im Bankgeschäft,https://www.metajob.at/dres/jc?p=000ae32s25ovq9
Bankenanalyst:in Schwerpunkt Rechnungslegung,"Laufende Aufsichtstätigkeit in Bezug auf Risiko und Profitabilität österreichischer Kreditinstitute (Less Significant Institutions) in Zusammenarbeit mit der … der Beurteilung von Fragestellungen in den Bereichen bankspezifische Rechnungslegung (UGB/BWG, IFRS) bzw. (aufsichtsrechtliche) Konsolidierung",https://www.metajob.at/dres/jc?p=00786my91kjp52
Revisor für die Bankenprüfung (m/w/d), … die Verantwortung für die Prüfung von Jahres- und Konzernabschlüssen nach lokalen (UGB) und internationalen Rechnungslegungsgrundsätzen (IFRS) im Bankenbereich - Je nach Vorerfahrung übernehmen Sie entweder von Beginn an oder sukzessiv die Rolle des Prüfungsleiters und Teamleaders,https://www.metajob.at/dres/jc?p=000a57f5kzxby8
Privatkundenbetreuer:in,"Sie beraten Ihre Kund:innen in allen Finanzangelegenheiten, speziell in Sachen Wertpapier, Finanzierung, Veranlagung, Zahlungsverkehr und Vorsorge. Durch Ihr Kommunikationstalent gelingt es Ihnen, nachhaltige und erfolgreiche Kundenbeziehungen aufzubauen und zu pflegen … Abgeschlossene Bankausbildung",https://www.metajob.athttps://karriere.sn.at/job/privatkundenbetreuerin-77977?utm_source=metajob.at&utm_medium=paid-link&utm_campaign=kat_B
Service-/Privatkundenbetreuer:in (m/w/d),"Voll- oder Teilzeit (mind. 22,5 Stunden/Woche) - Möchten Sie folgende Aufgaben übernehmen? * Sie sind verantwortlich für die Kassenführung und für die Betreuung unserer SB-Geräte … Abgeschlossene Bankausbildung sowie entsprechende Berufserfahrung im Bankbereich",https://www.metajob.at/dres/jc?p=000a5vwbqrdb3y
