title,description,cleaned_text
JAVA Developer (m/w/d) Розробник JAVA,"Von Vorteil: Umgang mit Datenbanken (JPA, SQL Grundkenntnisse), Erfahrung in GitLab, Maven, Jenkins, Docker und / oder OpenShift … Gleitzeit, Homeoffice, Smartphone mit Privatnutzung und Top Arbeitsgeräte - Unterstützung bei Ihrer persönlichen und fachlichen Weiterentwicklung inkl. Aufstiegschancen und … ",von vorteil umgang mit datenbanken jpa sql grundkenntnisse erfahrung gitlab maven jenkins docker und oder openshift gleitzeit homeoffice smartphone mit privatnutzung und top arbeitsger te unterst tzung bei ihrer pers nlichen und fachlichen weiterentwicklung inkl aufstiegschancen und
IT Systemadministrator (m/w/d),"Eine erfolgreich abgeschlossen IT-Ausbildung - Breites IT-Fachwissen (Server-, Storage- und SAN-Netzwerk-Technologien, IT-Security) - Facheinschlägige Berufserfahrung (wünschenswert) - Gute Englischkenntnisse in Wort- und Schrift - Selbständige und strukturierte Arbeitsweise, gutes analytisches Denken, hohe … ",eine erfolgreich abgeschlossen ausbildung breites fachwissen server storage und san netzwerk technologien security facheinschl gige berufserfahrung w nschenswert gute englischkenntnisse wort und schrift selbst ndige und strukturierte arbeitsweise gutes analytisches denken hohe
Mitarbeiter IT/EDV (m/w/d),"Installation und Wartung von Hardware/Software (PC, Server, Netzwerk) - Bearbeitung von Supportanfragen unserer Mitarbeiter - Überwachung und Betreuung der Datensicherung - Konten- und Rechteverwaltung in Microsoft Active Directory … Mitarbeit an IT-Projekten",installation und wartung von hardware software pc server netzwerk bearbeitung von supportanfragen unserer mitarbeiter berwachung und betreuung der datensicherung konten und rechteverwaltung microsoft active directory mitarbeit projekten
IT-Techniker im Bereich Programmierung und Netzwerkadministration (m/w/d),"technische Ausbildung und Erfahrung im IT-Bereich - Programmierkenntnisse (.net, c-sharp,..) setzen wir voraus - Linux-Kenntnisse von Vorteil - gute Deutschkenntnisse (Level B2 und höher) der Tätigkeit an der Hotline entsprechend",technische ausbildung und erfahrung im bereich programmierkenntnisse net c sharp setzen wir voraus linux kenntnisse von vorteil gute deutschkenntnisse level b und h der tigkeit der hotline entsprechend
Systemadministrator (m/w/d),"Eine erfolgreich abgeschlossene IT-Ausbildung - Berufserfahrung im Bereich der IT-Systemadministration - Sehr gute Kenntnisse von Windows Server 2016/2019 im Enterprise Umfeld (Active Directory, Gruppenrichtlinien, DNS, DHCP, IIS und diverser Serverdienste)",eine erfolgreich abgeschlossene ausbildung berufserfahrung im bereich der systemadministration sehr gute kenntnisse von window server im enterprise umfeld active directory gruppenrichtlinien dns dhcp ii und diverser serverdienste
Senior IT Engineer ISMS Notfallmanagement (all genders),Abgeschlossene IT-Ausbildung auf Hochschulniveau - Berufserfahrung in vergleichbaren Tätigkeiten - Erfahrung in der Steuerung von Dienstleistern - Sehr gute Kenntnis der Normen und Standards in der Informationssicherheit und im Notfallmanagement,abgeschlossene ausbildung auf hochschulniveau berufserfahrung vergleichbaren tigkeiten erfahrung der steuerung von dienstleistern sehr gute kenntnis der norman und standard der informationssicherheit und im notfallmanagement
Senior IT Engineer ISMS Notfallmanagement (all genders),Implementierung und Steuerung eines unternehmensweit einheitlichen Notfallmanagements * Erstellung von Notfallplänen in Zusammenarbeit mit den Fachbereichen * Planung und Umsetzung von übergreifenden Notfallübungen … Zusammenarbeit mit der ISMS-Organisation,implementierung und steuerung eines unternehmensweit einheitlichen notfallmanagements erstellung von notfallpl nen zusammenarbeit mit den fachbereichen planung und umsetzung von bergreifenden notfall bungen zusammenarbeit mit der ism organisation
Junior IT-Administrator:in & IT-Support für Mobile-Device-Management & Cloudlösungen,Mitarbeit bei vielseitigen IT-Projekten für Schulen und Unternehmen - Fernverwaltung von mobilen Endgeräten - Abwicklung von Störungen und Change-Management mit Endkundenkontakt - Aktive Mitgestaltung bei der Planung und Weiterentwicklung unserer Produkte und Projekte,mitarbeit bei vielseitigen projekten f r schulen und unternehmen fernverwaltung von mobilen endger ten abwicklung von st rungen und change management mit endkundenkontakt aktive mitgestaltung bei der planung und weiterentwicklung unserer produkte und projekte
Software Developer - Customer Service (m/w/d),"Eine erfolgreich (höhere) abgeschlossene Ausbildung im Bereich IT oder Technik - Berufserfahrung in der Softwareentwicklung und der objektorientierten Programmierung (Java) - Gutes Verständnis für relationale Datenbanken (MS-SQL, Oracle, etc",eine erfolgreich h abgeschlossene ausbildung im bereich oder technik berufserfahrung der softwareentwicklung und der objektorientierten programmierung java gutes verst ndnis f r relationale datenbanken m sql oracle etc
IT-Netzwerktechniker (m/w/d),"Administration, 2nd-Level-Support und Erweiterung des konzernweiten Netzwerkes (LAN, WLAN, WAN) mit Hauptfokus auf: Aktive Netzwerkkomponenten (Produkte von angesehenen Enterprise Herstellern) … Abgeschlossene IT-Ausbildung (HTL, FH/Uni) oder vergleichbare facheinschlägige Berufserfahrung",administration nd level support und erweiterung de konzernweiten netzwerkes lan wlan wan mit hauptfokus auf aktive netzwerkkomponenten produkte von angesehenen enterprise herstellern abgeschlossene ausbildung htl fh uni oder vergleichbare facheinschl gige berufserfahrung
IT - Java Developer (m/w/d),Requirements-Engineering - Entwurf und Entwicklung bestehender und neuer Projekte unter Verwendung modernster Technologien … Bachelor- oder Masterabschluss in Softwareentwicklung oder Informatik oder vergleichbare Praxiserfahrung,requirement engineering entwurf und entwicklung bestehender und neuer projekte unter verwendung modernster technologien bachelor oder masterabschluss softwareentwicklung oder informatik oder vergleichbare praxiserfahrung
Software Developer C# Java,Entwicklung von neuen Softwaresystemen mit Java oder C# - Weiterentwicklung der bestehenden Anwendungen - Programmierung von Schnittstellen und Umsetzung von Change Requests - Erstellung von individuellen Formularen mit iReport (Jasper),entwicklung von neuen softwaresystemen mit java oder c weiterentwicklung der bestehenden anwendungen programmierung von schnittstellen und umsetzung von change request erstellung von individuellen formularen mit ireport jasper
